"subject"	"activityData"	"feature"	"mean"
1	"Laying"	"MeantBodyAccX"	0.22159824394
1	"Sitting"	"MeantBodyAccX"	0.261237565425532
1	"Standing"	"MeantBodyAccX"	0.278917629056604
1	"Walking"	"MeantBodyAccX"	0.277330758736842
1	"Walking Downstairs"	"MeantBodyAccX"	0.289188320408163
1	"Walking Upstairs"	"MeantBodyAccX"	0.255461689622641
2	"Laying"	"MeantBodyAccX"	0.281373403958333
2	"Sitting"	"MeantBodyAccX"	0.27708735173913
2	"Standing"	"MeantBodyAccX"	0.277911472222222
2	"Walking"	"MeantBodyAccX"	0.276426586440678
2	"Walking Downstairs"	"MeantBodyAccX"	0.27761534806383
2	"Walking Upstairs"	"MeantBodyAccX"	0.247164790395833
3	"Laying"	"MeantBodyAccX"	0.275516852741935
3	"Sitting"	"MeantBodyAccX"	0.257197599134615
3	"Standing"	"MeantBodyAccX"	0.280046513278689
3	"Walking"	"MeantBodyAccX"	0.275567462068966
3	"Walking Downstairs"	"MeantBodyAccX"	0.292423484693878
3	"Walking Upstairs"	"MeantBodyAccX"	0.260819873067797
4	"Laying"	"MeantBodyAccX"	0.263559214981481
4	"Sitting"	"MeantBodyAccX"	0.27153827992
4	"Standing"	"MeantBodyAccX"	0.280499745892857
4	"Walking"	"MeantBodyAccX"	0.278582015166667
4	"Walking Downstairs"	"MeantBodyAccX"	0.279965329555556
4	"Walking Upstairs"	"MeantBodyAccX"	0.270876696730769
5	"Laying"	"MeantBodyAccX"	0.278334325576923
5	"Sitting"	"MeantBodyAccX"	0.273694139545455
5	"Standing"	"MeantBodyAccX"	0.282544390892857
5	"Walking"	"MeantBodyAccX"	0.27784234625
5	"Walking Downstairs"	"MeantBodyAccX"	0.29354392712766
5	"Walking Upstairs"	"MeantBodyAccX"	0.268459469914894
6	"Laying"	"MeantBodyAccX"	0.248656520140351
6	"Sitting"	"MeantBodyAccX"	0.276778487454545
6	"Standing"	"MeantBodyAccX"	0.280346248596491
6	"Walking"	"MeantBodyAccX"	0.283658868070175
6	"Walking Downstairs"	"MeantBodyAccX"	0.277045258145833
6	"Walking Upstairs"	"MeantBodyAccX"	0.268229355098039
7	"Laying"	"MeantBodyAccX"	0.250176694038462
7	"Sitting"	"MeantBodyAccX"	0.284674637291667
7	"Standing"	"MeantBodyAccX"	0.282723539433962
7	"Walking"	"MeantBodyAccX"	0.275592961754386
7	"Walking Downstairs"	"MeantBodyAccX"	0.28030708
7	"Walking Upstairs"	"MeantBodyAccX"	0.248706923078431
8	"Laying"	"MeantBodyAccX"	0.261254282907407
8	"Sitting"	"MeantBodyAccX"	0.267491472934783
8	"Standing"	"MeantBodyAccX"	0.279620986111111
8	"Walking"	"MeantBodyAccX"	0.27468631
8	"Walking Downstairs"	"MeantBodyAccX"	0.283484089210526
8	"Walking Upstairs"	"MeantBodyAccX"	0.258880152048781
9	"Laying"	"MeantBodyAccX"	0.2591955368
9	"Sitting"	"MeantBodyAccX"	0.24832674354
9	"Standing"	"MeantBodyAccX"	0.282310057333333
9	"Walking"	"MeantBodyAccX"	0.278502842115385
9	"Walking Downstairs"	"MeantBodyAccX"	0.295923445
9	"Walking Upstairs"	"MeantBodyAccX"	0.262436475714286
10	"Laying"	"MeantBodyAccX"	0.280230574137931
